poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
80825,458,Suffolk,"135,743",USA Today | The Arizona Republic,Suffolk University,323,Suffolk University,B+,Live Phone,Arizona,9/21/22,9/25/22,,"",,162484,500,lv,,lv,,9/27/22 09:02,"",https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2022/9_27_2022_marginals.pdf,"",false,,8919,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Kelly,20633,Mark Kelly,49.0
80825,458,Suffolk,"135,743",USA Today | The Arizona Republic,Suffolk University,323,Suffolk University,B+,Live Phone,Arizona,9/21/22,9/25/22,,"",,162484,500,lv,,lv,,9/27/22 09:02,"",https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2022/9_27_2022_marginals.pdf,"",false,,8919,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Masters,28668,Blake Masters,42.2
80825,458,Suffolk,"135,743",USA Today | The Arizona Republic,Suffolk University,323,Suffolk University,B+,Live Phone,Arizona,9/21/22,9/25/22,,"",,162484,500,lv,,lv,,9/27/22 09:02,"",https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2022/9_27_2022_marginals.pdf,"",false,,8919,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,LIB,Victor,30075,Marc Victor,1.8
80837,438,Siena,"","",Siena College,305,Siena College,A,Live Phone,New York,9/16/22,9/25/22,,"",,162587,655,lv,,lv,,9/28/22 10:39,"",https://scri.siena.edu/wp-content/uploads/2022/09/SNY-September-2022-Poll-Release-9-28-22-FINAL.pdf,"",false,,8939,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Schumer,29286,Charles E. Schumer,55.0
80837,438,Siena,"","",Siena College,305,Siena College,A,Live Phone,New York,9/16/22,9/25/22,,"",,162587,655,lv,,lv,,9/28/22 10:39,"",https://scri.siena.edu/wp-content/uploads/2022/09/SNY-September-2022-Poll-Release-9-28-22-FINAL.pdf,"",false,,8939,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Pinion,29771,Joe Pinion,36.0
80838,1741,ActiVote,"","",ActiVote,721,ActiVote,,Online,Florida,6/27/22,9/25/22,,"",,162546,210,lv,,lv,,9/28/22 09:38,"",https://www.activote.net/2022-gen-polling/,"",false,,8924,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Demings,25620,Val Demings,45.0
80838,1741,ActiVote,"","",ActiVote,721,ActiVote,,Online,Florida,6/27/22,9/25/22,,"",,162546,210,lv,,lv,,9/28/22 09:38,"",https://www.activote.net/2022-gen-polling/,"",false,,8924,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Rubio,25621,Marco Rubio,51.0
80838,1741,ActiVote,"","",ActiVote,721,ActiVote,,Online,Florida,6/27/22,9/25/22,,"",,162546,210,lv,,lv,,9/28/22 09:38,"",https://www.activote.net/2022-gen-polling/,"",false,,8924,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,LIB,Misigoy,29491,Dennis Misigoy,3.0
80813,235,InsiderAdvantage,566,Fox 29 Philadelphia WTXF,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Pennsylvania,9/23/22,9/24/22,,"",,162458,500,lv,,lv,,9/26/22 17:05,"",https://www.fox29.com/election/insideradvantage-fox-29-poll-shows-fetterman-leading-oz-shapiro-in-double-digit-lead-over-mastriano,"",false,,8945,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Fetterman,20700,John Fetterman,44.8
80813,235,InsiderAdvantage,566,Fox 29 Philadelphia WTXF,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Pennsylvania,9/23/22,9/24/22,,"",,162458,500,lv,,lv,,9/26/22 17:05,"",https://www.fox29.com/election/insideradvantage-fox-29-poll-shows-fetterman-leading-oz-shapiro-in-double-digit-lead-over-mastriano,"",false,,8945,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Oz,28740,Mehmet Oz,41.7
80813,235,InsiderAdvantage,566,Fox 29 Philadelphia WTXF,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Pennsylvania,9/23/22,9/24/22,,"",,162458,500,lv,,lv,,9/26/22 17:05,"",https://www.fox29.com/election/insideradvantage-fox-29-poll-shows-fetterman-leading-oz-shapiro-in-double-digit-lead-over-mastriano,"",false,,8945,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,LIB,Gerhardt,29890,Erik Gerhardt,1.8
80810,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Washington,9/21/22,9/24/22,,"",,162449,1091,lv,,lv,,9/26/22 13:11,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/WA-General-Poll-Report-0926.pdf,"",false,REP,8950,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Murray,20850,Patty Murray,48.7
80810,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Washington,9/21/22,9/24/22,,"",,162449,1091,lv,,lv,,9/26/22 13:11,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/WA-General-Poll-Report-0926.pdf,"",false,REP,8950,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Smiley,20851,Tiffany Smiley,46.5
80832,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Colorado,9/20/22,9/24/22,,"",,162501,1078,lv,,lv,,9/27/22 20:07,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/TRF-CO-General-0927-Poll-Report.pdf,"",false,REP,8922,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Bennet,28366,Michael Bennet,48.6
80832,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Colorado,9/20/22,9/24/22,,"",,162501,1078,lv,,lv,,9/27/22 20:07,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/TRF-CO-General-0927-Poll-Report.pdf,"",false,REP,8922,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,O'Dea,30404,Joe O'Dea,42.6
80832,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Colorado,9/20/22,9/24/22,,"",,162501,1078,lv,,lv,,9/27/22 20:07,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/09/TRF-CO-General-0927-Poll-Report.pdf,"",false,REP,8922,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,LIB,Peotter,30226,Brian Peotter,3.6
80816,1205,Marist,"","",Marist College,183,Marist College,A,Live Phone/Online/Text,Pennsylvania,9/19/22,9/22/22,,"",,162469,1242,rv,,rv,,9/27/22 08:56,"",https://maristpoll.marist.edu/polls/the-2022-elections-in-pennsylvania/,"",false,,8945,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Fetterman,20700,John Fetterman,51.0
80816,1205,Marist,"","",Marist College,183,Marist College,A,Live Phone/Online/Text,Pennsylvania,9/19/22,9/22/22,,"",,162469,1242,rv,,rv,,9/27/22 08:56,"",https://maristpoll.marist.edu/polls/the-2022-elections-in-pennsylvania/,"",false,,8945,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,REP,Oz,28740,Mehmet Oz,41.0
80833,1205,Marist,"","",Marist College,183,Marist College,A,Live Phone/Online/Text,Arizona,9/19/22,9/22/22,,"",,162503,1260,rv,,rv,,9/28/22 08:57,"",https://maristpoll.marist.edu/polls/the-2022-elections-in-arizona/,"",false,,8919,2022,U.S. Senate,2,Class III,11/8/22,general,false,false,DEM,Kelly,20633,Mark Kelly,51.0
