phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
gun violence,crime/justice,8,0,8,34.78,0,9.391304348,0.00218017
gun safety,crime/justice,6,0,6,26.09,0,7.043478261,0.007955439
prison,crime/justice,5,20,25,21.74,74.07,6.803542673,0.009097718
law enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082
enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082
schools safer,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
local law enforcement,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
prison population,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
local law,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
corrections,crime/justice,2,10,12,8.7,37.04,4.156736447,0.041469233
school safety,crime/justice,1,7,8,4.35,25.93,3.614331723,0.057283732
prisons,crime/justice,3,10,13,13.04,37.04,2.750030967,0.097252545
public safety,crime/justice,7,17,24,30.43,62.96,2.737788513,0.098000306
violence,crime/justice,12,7,19,52.17,25.93,2.251801,0.133458996
correctional,crime/justice,3,9,12,13.04,33.33,2.130434783,0.144399792
gun,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
attorney general,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
non violent,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
police officer,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
violent crime,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
crime,crime/justice,6,12,18,26.09,44.44,1.162640902,0.280918513
violent,crime/justice,5,10,15,21.74,37.04,0.968867418,0.324962804
offenders,crime/justice,4,8,12,17.39,29.63,0.775093935,0.378645801
law enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
enforcement officers,crime/justice,3,6,9,13.04,22.22,0.581320451,0.445795211
police officers,crime/justice,3,2,5,13.04,7.41,0.39452496,0.529930429
criminal,crime/justice,12,17,29,52.17,62.96,0.249264257,0.617593614
justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
criminal justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
victims,crime/justice,5,7,12,21.74,25.93,0.090713902,0.763271531
recidivism rate,crime/justice,2,3,5,8.7,11.11,0.072463768,0.787782743
violent offenders,crime/justice,2,3,5,8.7,11.11,0.072463768,0.787782743
state police,crime/justice,4,4,8,17.39,14.81,0.051529791,0.820422388
criminal justice,crime/justice,12,13,25,52.17,48.15,0.040257649,0.840977663
police,crime/justice,10,12,22,43.48,44.44,0.002635046,0.959060411
minimum wage,economy/fiscal issues,9,0,9,39.13,0,10.56521739,0.001152355
middle class,economy/fiscal issues,9,1,10,39.13,3.7,7.793880837,0.005242347
business community,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129
economic success,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129
doing business,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469
state income,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469
economy works,economy/fiscal issues,5,0,5,21.74,0,5.869565217,0.015404856
savings account,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
state income tax,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
tax rates,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
fully funding,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
good jobs,economy/fiscal issues,9,3,12,39.13,11.11,4.062801932,0.043837703
raising taxes,economy/fiscal issues,1,7,8,4.35,25.93,3.614331723,0.057283732
rainy day,economy/fiscal issues,3,11,14,13.04,40.74,3.402806533,0.065085592
fiscally responsible,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
federal funding,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
economy strong,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
changing economy,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
small businesses,economy/fiscal issues,11,5,16,47.83,18.52,3.33373591,0.067872542
income tax,economy/fiscal issues,5,14,19,21.74,51.85,2.963725739,0.085151523
high demand,economy/fiscal issues,1,6,7,4.35,22.22,2.83436853,0.092267065
competitive,economy/fiscal issues,7,17,24,30.43,62.96,2.737788513,0.098000306
good job,economy/fiscal issues,6,2,8,26.09,7.41,2.708534622,0.09981264
small business,economy/fiscal issues,10,5,15,43.48,18.52,2.579173376,0.108278194
unemployment rate lowest,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
state funding,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
employee,economy/fiscal issues,7,3,10,30.43,11.11,2.31884058,0.127815263
wage,economy/fiscal issues,12,7,19,52.17,25.93,2.251801,0.133458996
surplus,economy/fiscal issues,3,9,12,13.04,33.33,2.130434783,0.144399792
budget provides,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
dignity work,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
job creators,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
create jobs,economy/fiscal issues,8,4,12,34.78,14.81,2.063338701,0.150879274
growing economy,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
tax cut,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
strong economy,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
good paying jobs,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
taxpayers,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
savings,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
new jobs,economy/fiscal issues,10,6,16,43.48,22.22,1.753623188,0.185421895
financial,economy/fiscal issues,6,13,19,26.09,48.15,1.590728028,0.20722215
build new,economy/fiscal issues,6,3,9,26.09,11.11,1.547504026,0.213504293
general fund,economy/fiscal issues,2,6,8,8.7,22.22,1.420289855,0.2333557
working families,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
job training,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
economic impact,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
budget calls,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
lowest unemployment,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high paying jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high demand jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
government spending,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
tax cuts,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
